firm,weight,sector
FL,0.0008927285505237972,Consumer Discretionary
SCI,-0.005720276743752412,Consumer Discretionary
SPGI,0.008777116254219912,Financials
GIS,0.06691093758902437,Consumer Staples
ADI,-0.0034482917672422307,Information Technology
GILD,0.0,Health Care
PCG,-0.0011994755424641307,Utilities
VFC,0.0,Consumer Discretionary
XRX,-0.0,Information Technology
IBM,0.021477325559261486,Information Technology
NUE,0.003737444863126098,Materials
AET,0.0,
CAR,-0.009791510686023571,Industrials
EXC,0.014489713469866569,Utilities
JCI,-0.0,Industrials
LLY,0.0,Health Care
AZO,0.0,Financials
PEG,0.0,Utilities
OMX,0.0,
VLO,0.0057410554969126405,Energy
INTU,-0.0029775907287833484,Information Technology
KO,0.0,Consumer Staples
APD,-0.0,Materials
USB,0.0,Financials
DIS,0.0,Communication Services
ITT,0.004947540408766099,Industrials
AMD,-0.0014367091188190696,Information Technology
MS,0.0,Financials
JNJ,0.0,Health Care
CMA,0.0,Financials
WMT,0.008425780983921572,Consumer Staples
KBH,-0.005372681579490701,Industrials
UNM,-0.004154075562944113,Financials
KSS,0.0011004070303887498,Consumer Discretionary
MMC,0.0,Financials
TAP,0.012552837106553255,Consumer Staples
CVX,0.013245673765697711,Energy
LEG,0.0,Consumer Discretionary
MTG,-0.0,Financials
WFC,-0.0,Financials
PDCO,0.0019135321239731951,Health Care
AVY,0.0,Industrials
SNA,0.00505854745065738,Industrials
EMN,-0.0,Materials
WOR,0.0,Industrials
BAX,-5.221861215823184e-05,Health Care
NTAP,-0.00039005563712629534,Information Technology
DE,6.652689732555355e-06,Industrials
MAS,0.0,Industrials
ROK,-0.006727546104010386,Industrials
LEN,-0.0,Industrials
AON,-0.0,Financials
FITB,0.0,Financials
AAPL,0.00902986069550954,Information Technology
NSC,-0.01060773936171485,Industrials
DXC,0.0033700575844018013,Information Technology
RF,0.0,Financials
ADBE,-0.0,Information Technology
K,0.0,Consumer Staples
UNH,0.003958041697173114,Health Care
HPQ,0.0,Information Technology
ETR,0.0,Utilities
BMS,0.006374026947012672,
HD,-0.0061780901174261155,Consumer Discretionary
TJX,0.00012475345172631368,Consumer Discretionary
SYK,0.0,Health Care
IPG,-0.0,Communication Services
JPM,-0.015242012408498042,Financials
WM,0.017215655439087853,Industrials
CCL,-0.0,Consumer Discretionary
DDS,-0.005801980577567255,Consumer Discretionary
HAL,-0.009433172476160833,Energy
VIAV,-0.0,Information Technology
PHM,-0.006927278178065413,Industrials
DOV,-0.0022413261981119492,Industrials
MAT,0.01360737382356107,Consumer Discretionary
MBI,-0.012909573881932906,Financials
DLX,0.004903945745891648,Communication Services
BIG,-0.010210375689074652,Consumer Staples
ETN,0.01847529754912152,Industrials
GD,0.018830238560203907,
MU,0.0011031925407639874,Information Technology
UIS,-0.0,Information Technology
SLM,0.034596703724009276,Financials
DVN,0.0064295412001644245,Energy
APA,0.000659941697319191,Energy
EL,0.015552255366571406,Consumer Staples
CPB,-0.006609369882834796,Consumer Staples
