firm,weight,sector
FL,0.0019273186263497075,Consumer Discretionary
UHS,0.001739649265137928,Health Care
SPGI,0.01382255998350609,Financials
MCHP,0.007431667908859321,Information Technology
ROP,-0.0,Industrials
GIS,0.0,Consumer Staples
LRCX,-0.003983709491619288,Information Technology
ADI,0.0011134408530271978,Information Technology
AEE,-0.015022439204588563,Utilities
HRL,-0.03172035813537556,Consumer Staples
GILD,0.01340391935924005,Health Care
LYB,0.0,Materials
POM,0.03730942993360585,
GHC,0.04222601766198838,Consumer Staples
KMX,0.0012765371267556313,Consumer Discretionary
VFC,0.007852660015786639,Consumer Discretionary
BXP,0.0,Real Estate
YUM,-0.0,Consumer Discretionary
XRX,-0.01948523095196923,Information Technology
PKG,-0.0,Consumer Discretionary
VTR,-0.0,Real Estate
TSLA,-0.0015078705903285143,Consumer Discretionary
LUMN,-0.010492834311163476,Communication Services
ULTA,0.003959212954597126,Consumer Discretionary
IBM,0.025227762518521296,Information Technology
NUE,-0.016895199296227046,Materials
ZBRA,0.006922060683260224,Information Technology
NOV,0.024286312236361435,Energy
CHD,0.0025237246564094027,Consumer Staples
EXC,0.026150093832652335,Utilities
HST,-0.02513004481048509,Real Estate
JCI,0.004394477341519056,Industrials
LLY,0.009645434893618157,Health Care
IRM,-0.0001635527362306102,Real Estate
AZO,0.03868069109124312,Financials
CCEP,0.0,Consumer Staples
PEG,-0.036412405972185216,Utilities
VLO,0.0027838499773718056,Energy
INTU,-0.013001654188517535,Information Technology
KO,0.03327191979027248,Consumer Staples
APD,0.0,Materials
NFLX,0.0008600237002702481,Communication Services
AVGO,-0.0,Information Technology
CHRW,0.01673194963944273,Industrials
ARE,0.0,Real Estate
TMUS,0.0030764087904147108,Communication Services
USB,0.0,Financials
DIS,0.007083558075856129,Communication Services
ILMN,-0.0,Health Care
ITT,0.01111518175927737,Industrials
MS,-0.013304417641940977,Financials
KMI,0.02419905789772655,Energy
NKTR,-0.00429991113713176,Health Care
JNJ,0.020625545895012313,Health Care
ISRG,0.008228091069758034,Health Care
CMA,0.0035871881119667165,Financials
WMT,0.01654102009119642,Consumer Staples
RCL,-0.0,Consumer Discretionary
UNM,0.002385963350067895,Financials
NVR,0.04595467155648397,Industrials
CF,0.013920470862823569,Industrials
KSS,0.0,Consumer Discretionary
GPN,0.0,Industrials
MMC,0.0,Financials
TAP,-0.0,Consumer Staples
CVX,0.0,Energy
AKAM,-0.0004603581745698943,Information Technology
AME,-0.007149091856714264,Industrials
AMT,0.0,Real Estate
LEG,-0.0031779970255232156,Consumer Discretionary
ICE,0.012231943131900177,Financials
PDCO,-0.0025493205604240872,Health Care
WFC,-0.0013367116689043863,Financials
AVY,0.0071451985424045615,Industrials
SNA,0.010859971878983396,Industrials
EMN,0.0,Materials
BAX,0.017169051354107567,Health Care
