firm,weight,sector
SCI,-0.00157897279227762,Consumer Discretionary
SPGI,0.0025808541355652817,Financials
MCHP,0.004906887185318332,Information Technology
GIS,0.05448469176194955,Consumer Staples
ADI,-0.00113118236421611,Information Technology
AEE,0.055859387527192925,Utilities
HRL,-0.002708386020831177,Consumer Staples
GILD,-0.012935817323481804,Health Care
PCG,-0.013309268192081565,Utilities
GHC,0.040658548759104754,Consumer Staples
VFC,0.03398807638095756,Consumer Discretionary
BXP,0.04448778967473178,Real Estate
YUM,-0.011376341383449014,Consumer Discretionary
XRX,-0.007709922179357718,Information Technology
VTR,0.00861995569582414,Real Estate
IBM,0.030252386652429474,Information Technology
NUE,-0.007679972506908992,Materials
AET,0.006502150287010792,
NOV,-0.020055757602113547,Energy
EXC,-0.005049317201185195,Utilities
JCI,0.002637497728897476,Industrials
LLY,0.006536109507386054,Health Care
HST,0.00038074314279394617,Real Estate
AZO,0.007131262085792842,Financials
IRM,0.03521560784033894,Real Estate
PEG,-0.03304524800383031,Utilities
OMX,-0.003113139220352716,
VLO,0.01518442207633081,Energy
INTU,0.0018572572345959947,Information Technology
KO,0.01118273988303675,Consumer Staples
APD,0.011842412787930802,Materials
CHRW,-0.009597627071930511,Industrials
USB,0.006915708034505902,Financials
DIS,0.00213455839860473,Communication Services
ITT,-0.009018562354187262,Industrials
AMD,-0.0019302673025015276,Information Technology
JNJ,0.04346665618843086,Health Care
CMA,-0.0058476752798538026,Financials
WMT,0.02126610284743495,Consumer Staples
KBH,-0.008221510196840962,Industrials
UNM,-0.0067096544351886184,Financials
KSS,-0.007115282770504999,Consumer Discretionary
MMC,0.00990278855846524,Financials
TAP,0.0060268743852871405,Consumer Staples
CVX,0.052725196826593324,Energy
AKAM,-0.001224992238335873,Information Technology
IAC,-0.01491892295565215,Communication Services
LEG,0.010221673357772977,Consumer Discretionary
AMT,0.00837003955791099,Real Estate
MTW,-0.014522853521415698,Industrials
WFC,0.004561880517662674,Financials
PDCO,0.0064234091933000875,Health Care
AVY,0.0012817584897004749,Industrials
SNA,0.0059667088178302075,Industrials
EMN,-0.004455708356269647,Materials
WOR,-0.005835655540999555,Industrials
BAX,0.011795224089274612,Health Care
NTAP,-0.0026091690089112603,Information Technology
DE,0.006817343390127895,Industrials
TUP,-0.002501716832476604,Consumer Discretionary
MAS,0.012881616939661068,Industrials
ROK,-0.016386244347205453,Industrials
UPS,0.06624277121779662,Industrials
LEN,0.009745282057216654,Industrials
WDC,-0.0014037044694351249,Information Technology
AON,-0.0016628822181707992,Financials
TIE,0.006031658726473037,
AAPL,0.009279876425681384,Information Technology
NSC,-0.016666710912159394,Industrials
EQT,0.01891972865152633,Energy
DXC,0.0033839928332602,Information Technology
RF,-0.009153749916031208,Financials
ADBE,-0.006124705381348508,Information Technology
K,0.013332141143207254,Consumer Staples
UNH,0.007560199924337985,Health Care
HPQ,-0.004186391739024643,Information Technology
ETR,-0.019078672710725025,Utilities
BMS,0.0066568785637534725,
HD,-0.005648428611219189,Consumer Discretionary
TJX,-0.0012457454932307674,Consumer Discretionary
SYK,-0.01159083363415796,Health Care
IPG,0.0008083524702386744,Communication Services
JPM,-0.030843904672505744,Financials
WM,0.010571913800549938,Industrials
CCL,-0.020477642984513263,Consumer Discretionary
DDS,-0.00276967544651743,Consumer Discretionary
HAL,-0.013540163162218665,Energy
VIAV,1.728716001093717e-05,Information Technology
EBAY,0.007842800037990875,Consumer Discretionary
DGX,0.0036435166720748657,Health Care
PHM,-0.02332467505867286,Industrials
SVU,0.007493116690027151,
DOV,-0.014196749206044221,Industrials
MAT,0.024761063672498116,Consumer Discretionary
MBI,-0.02666062800415933,Financials
DLX,0.0016926528203901458,Communication Services
BIG,-0.0024242674688158463,Consumer Staples
MAR,0.004711794467833832,Consumer Discretionary
TEX,-0.0007906221598697836,Industrials
ETN,0.011905542508951981,Industrials
GD,0.016093342450829922,
MU,-0.007422401335913927,Information Technology
SLM,0.019368861945636813,Financials
DVN,-0.0005100286643971042,Energy
APA,0.013526287147839024,Energy
EL,0.02022516730089694,Consumer Staples
WEC,0.02930228502859481,Utilities
CPB,-0.03084055365470787,Consumer Staples
FMC,-0.005811138436065964,Materials
NC,-0.009280607526052129,Materials
TSN,-0.00377014283068388,Consumer Staples
CSCO,0.009788502429364439,Information Technology
SWN,0.00013889615037906977,Energy
COF,-0.0003684853088827128,Financials
MOLX,-0.001795118247605371,
IVZ,-0.01599711243749593,Financials
CAH,-0.009879853830481284,Health Care
MSFT,0.015356090866142407,Information Technology
GPS,0.0031172684005970185,Consumer Discretionary
AFL,0.01209298693847626,Financials
UNP,0.019952410549887632,Industrials
COP,0.020835662575117365,Energy
QCOM,-0.0017447628783371916,Information Technology
SNV,-0.02461448028633398,Financials
RIG,0.00668290020791405,Energy
LUV,0.01084383166397759,Industrials
EFX,0.007267609571861993,Industrials
STZ,-0.0012120731468182253,Consumer Staples
DHI,-0.01095536143380638,Industrials
CINF,0.01916932641930423,Financials
AMZN,-0.0008488427265399955,Consumer Discretionary
BBY,-0.00968983216621268,Consumer Discretionary
AES,-0.006511573183449084,Utilities
A,0.0016086148082312523,Health Care
JNPR,0.0030606905626168832,Financials
ED,0.01758570898881984,Utilities
CB,-0.0034235333739328364,Financials
STT,-0.020307669108746863,Financials
PLD,0.047912326713382636,Real Estate
NI,0.008221680937547531,Utilities
NTRS,-0.01453683275222048,Financials
MO,-0.0008324042453696856,Consumer Staples
PWR,-0.0012120777352614687,Industrials
CTSH,-0.0021378094883797907,Information Technology
HSY,0.012794724931945067,Consumer Staples
SRE,0.011001415654210627,Utilities
R,-0.009227216100382792,Information Technology
LH,0.005876543518655117,Health Care
CI,0.0018436908133858726,Health Care
PNC,-0.0015366989753678958,Financials
CLX,0.014040086215623453,Consumer Staples
GWW,0.0038035367469551606,Industrials
OKE,-0.011264609210735466,Financials
PFE,-0.02026607614914574,Health Care
TGNA,0.02913768482447894,Communication Services
M,-0.01654634220692435,Consumer Discretionary
AEP,-0.029972451350543036,Utilities
TGT,-0.0036095173376904134,Consumer Staples
JNY,-0.0013340414434722429,
F,0.008468214972252731,Consumer Discretionary
HP,0.0022911253313922294,Energy
DRI,-0.006012347523403367,Consumer Discretionary
VNO,0.00034896668207816395,Real Estate
CAT,0.0010323587604671048,Industrials
BK,0.006676055027821525,Financials
TLAB,-0.006956402602353366,
MMM,0.017482840116043157,Industrials
CAG,0.010693451794013795,Consumer Staples
SLB,0.013670239250503174,Energy
PG,0.011145275271240316,Consumer Staples
LNC,-0.012890080431938511,Financials
PAYX,-0.005415944527551765,Industrials
ES,0.03388068404526895,Utilities
T,-6.648055401851059e-05,Communication Services
TRV,0.014178556267027588,Financials
HRB,-0.0020026077005019637,Consumer Discretionary
COST,0.008598417628978472,Consumer Staples
OXY,-0.029109282236964563,Energy
SO,0.04862525822409398,Utilities
JWN,-0.007802020096794204,Consumer Discretionary
MTB,0.006000638871314736,Financials
MCD,0.013590429248834546,Consumer Discretionary
CSR,0.054319106755688934,Real Estate
DD,-0.0011455804387033135,Materials
ADSK,0.006214148803962558,Information Technology
L,0.012991113165674488,Financials
MSI,-0.0005106862637900634,Information Technology
FLS,-0.0010184228818066084,Industrials
MRK,-0.0025562232352156333,Health Care
GPC,-0.008258756223646278,Consumer Discretionary
GLW,0.006758078724759531,Information Technology
EIX,0.006995719557942336,Utilities
FAST,-0.012472104120496564,Industrials
ADP,0.005059889785410793,Industrials
VMC,-0.006523877857377001,Materials
CMI,0.008411642070796923,Industrials
MRO,-0.0012159615804505294,Energy
AN,0.006940680623109088,Consumer Discretionary
ATI,-0.008087682686443966,Industrials
HON,0.00789796327202356,Financials
GT,-0.0026432672751040207,Consumer Discretionary
NEM,0.03401083278478885,Materials
FE,-0.008484887258108262,Utilities
FDX,0.01619458289869094,Industrials
SWK,0.013934385702018718,Industrials
PTC,-0.00890200593584609,Information Technology
RL,0.010189399597024877,Consumer Discretionary
CMVT,-0.0059947121548375865,
MCO,0.013302112032335126,Financials
TWX,0.0208322734565754,
ASH,0.02129276482798087,Materials
RRC,0.0016756598147048534,Energy
BEN,-0.010415581931511422,Financials
HNZ,0.03385235821255489,
AIV,0.0024103078285404173,Real Estate
APH,-0.008816101615237902,Information Technology
PPG,-0.02722957334121643,Materials
SPG,-0.057696477562859956,Real Estate
SFA,0.023102940808590256,
ITW,0.0233513549289434,Industrials
