firm,weight,sector
FL,0.003023020975390884,Consumer Discretionary
SCI,-0.0025133506799115907,Consumer Discretionary
SPGI,0.012632790349826853,Financials
MCHP,0.005438258062658842,Information Technology
GIS,0.07816379897917773,Consumer Staples
ADI,0.0,Information Technology
AEE,0.048122776013436765,Utilities
GILD,-0.0031233712237323176,Health Care
PCG,-0.0,Utilities
GHC,0.06116787947968942,Consumer Staples
VFC,0.0071229454839175305,Consumer Discretionary
BXP,0.051555639765730556,Real Estate
YUM,0.0009519581264990591,Consumer Discretionary
XRX,-0.001531207510186354,Information Technology
IBM,0.03160520310864916,Information Technology
NUE,-0.0,Materials
AET,0.0,
NOV,-0.008640392952063487,Energy
CAR,-0.003230714322901221,Industrials
EXC,0.0021763847614116915,Utilities
JCI,0.0,Industrials
LLY,0.00472024237918962,Health Care
HST,-0.0,Real Estate
AZO,0.005147351515092864,Financials
PEG,-0.0,Utilities
OMX,0.00082710891901794,
VLO,0.0006491125731169752,Energy
INTU,-8.209221639885908e-05,Information Technology
KO,0.0,Consumer Staples
APD,-0.0,Materials
CHRW,-0.0,Industrials
USB,0.0,Financials
DIS,-0.0,Communication Services
ITT,0.003240757973263245,Industrials
AMD,-0.004730582087176765,Information Technology
MS,-0.0,Financials
JNJ,0.012964886951226915,Health Care
CMA,0.0,Financials
WMT,0.005995983213717383,Consumer Staples
KBH,-0.006187100697313375,Industrials
UNM,-0.0,Financials
KSS,-0.0,Consumer Discretionary
MMC,0.0,Financials
TAP,0.01129121208606989,Consumer Staples
CVX,0.03781473954027964,Energy
IAC,-0.015742847134209446,Communication Services
LEG,0.0,Consumer Discretionary
MTG,0.004812281992912881,Financials
MTW,-0.006777834965084923,Industrials
WFC,0.0,Financials
PDCO,0.0039339412643487354,Health Care
AVY,0.0,Industrials
SNA,0.0022734461847256503,Industrials
EMN,-0.0026388620493264184,Materials
WOR,-0.001054335497893354,Industrials
BAX,0.0,Health Care
NTAP,-0.003598881424740746,Information Technology
DE,0.005449020972787913,Industrials
TUP,0.0,Consumer Discretionary
MAS,0.0,Industrials
ROK,-0.010740613151343456,Industrials
LEN,-0.004154575194319579,Industrials
AON,-0.0,Financials
TIE,0.006871690677050996,
FITB,0.0,Financials
AAPL,0.0014220807733168806,Information Technology
NSC,-0.012660723687925767,Industrials
DXC,0.0012056466239075327,Information Technology
RF,-0.0,Financials
ADBE,-0.004630365538082728,Information Technology
K,0.0035394768268631033,Consumer Staples
UNH,0.004825627634376342,Health Care
HPQ,0.0,Information Technology
ETR,0.0,Utilities
BMS,0.004291644981662464,
HD,-0.017555862626022895,Consumer Discretionary
TJX,0.0013005558853995715,Consumer Discretionary
SYK,-0.0,Health Care
IPG,-0.0,Communication Services
JPM,-0.01602954638380367,Financials
WM,0.014327671533762444,Industrials
CCL,-0.005620618177758061,Consumer Discretionary
DDS,-0.0004972159438041381,Consumer Discretionary
HAL,-0.013117648964041398,Energy
VIAV,-0.0,Information Technology
DGX,0.003953717961837065,Health Care
PHM,-0.006529034205225272,Industrials
DOV,-0.0003098680572550724,Industrials
