firm,weight,sector
UHS,0.006547581977565083,Health Care
SPGI,-0.0,Financials
MCHP,0.015505916955885326,Information Technology
ROP,0.0,Industrials
GIS,0.03625239515230758,Consumer Staples
LRCX,-0.0,Information Technology
ADI,0.0,Information Technology
AEE,-0.0,Utilities
HRL,0.046017814860168496,Consumer Staples
GILD,0.0,Health Care
PCG,0.0,Utilities
GHC,0.0034519257788389224,Consumer Staples
KMX,0.0,Consumer Discretionary
VFC,0.013845243508688043,Consumer Discretionary
BXP,0.0,Real Estate
YUM,0.0,Consumer Discretionary
XRX,0.0,Information Technology
VTR,-0.0,Real Estate
IBM,0.0330463133677461,Information Technology
NUE,-0.0,Materials
AET,-0.0,
NOV,-0.015159152563554504,Energy
EXC,-0.0,Utilities
JCI,0.0,Industrials
LLY,-0.0,Health Care
HST,-0.03219423553398183,Real Estate
AZO,0.01884656303741321,Financials
IRM,0.0,Real Estate
PEG,-0.01100027239731155,Utilities
VLO,0.0,Energy
INTU,0.0,Information Technology
KO,0.0,Consumer Staples
APD,0.0,Materials
NFLX,0.0024396048720414956,Communication Services
CHRW,0.0,Industrials
USB,0.03332241971457791,Financials
DIS,-0.0,Communication Services
ITT,0.0,Industrials
AMD,-0.0,Information Technology
JNJ,0.0715054391765551,Health Care
ISRG,-0.0009141449639552073,Health Care
CMA,0.0,Financials
WMT,0.04334704144989514,Consumer Staples
RCL,-0.004138818861461658,Consumer Discretionary
KBH,0.0,Industrials
UNM,-0.018090221440222348,Financials
KSS,0.0,Consumer Discretionary
MMC,0.0,Financials
TAP,0.00330790552959082,Consumer Staples
CVX,-0.0,Energy
AKAM,0.0,Information Technology
IAC,0.027219361979051924,Communication Services
AME,0.0,Industrials
LEG,-0.0,Consumer Discretionary
AMT,0.001286024361371667,Real Estate
MTW,-0.0038663926454070526,Industrials
WFC,0.0,Financials
PDCO,0.0,Health Care
AVY,0.0,Industrials
SNA,-0.0,Industrials
EMN,0.0,Materials
BAX,0.0,Health Care
BLK,0.0,Financials
NTAP,0.0,Information Technology
DE,0.011112183576671106,Industrials
MAS,-0.0,Industrials
ROK,-0.0,Industrials
UPS,0.0,Industrials
PVH,-0.0,Consumer Discretionary
LEN,0.0,Industrials
SWKS,0.0,Information Technology
WDC,0.0,Information Technology
AON,0.028239983229746086,Financials
AAPL,0.005505204062777061,Information Technology
NSC,0.0,Industrials
EQT,-0.0,Energy
DXC,-0.0,Information Technology
RF,-0.0,Financials
ADBE,-0.0,Information Technology
K,0.029626616982912267,Consumer Staples
UNH,-0.007112294337959606,Health Care
HPQ,0.0,Information Technology
ETR,0.0,Utilities
BMS,0.0,
FTI,-0.0,Energy
STX,0.0005083454099851967,Information Technology
HD,0.0,Consumer Discretionary
TJX,0.0,Consumer Discretionary
SYK,0.0,Health Care
IPG,-0.0002714081836232104,Communication Services
MAC,0.008098962887834432,Real Estate
JPM,-0.0,Financials
WM,0.0,Industrials
CCL,0.0,Consumer Discretionary
NFX,0.006479646809255109,
DDS,0.0005994123222418931,Consumer Discretionary
HAL,0.0,Energy
VIAV,0.0,Information Technology
DLTR,0.013420960805886242,Consumer Staples
ZBH,0.0,Health Care
EBAY,0.0,Consumer Discretionary
DGX,0.011946352283951852,Health Care
PHM,-0.0,Industrials
SVU,-0.0,
NDAQ,0.0,Financials
DOV,0.0,Industrials
MAT,-0.0,Consumer Discretionary
TSCO,0.0,Consumer Discretionary
MBI,-0.0008904292421822341,Financials
MET,-0.0,Financials
BIG,-0.002901341135572744,Consumer Staples
EQIX,0.0017455818828382844,Real Estate
MAR,0.0017727710978819855,Consumer Discretionary
TEX,-0.008838216928703572,Industrials
MNST,0.0,Consumer Staples
ETN,0.0,Industrials
GD,0.0,
MU,-0.00894594089761772,Information Technology
HSIC,0.0,Health Care
SLM,0.0,Financials
DVN,0.0,Energy
APA,-0.0,Energy
EL,0.0,Consumer Staples
