firm,weight,sector
FL,0.0024050149656549553,Consumer Discretionary
UHS,0.0,Health Care
SPGI,-0.0,Financials
MCHP,0.005850995977835907,Information Technology
ROP,0.0,Industrials
GIS,0.03420505067335435,Consumer Staples
LRCX,-0.0,Information Technology
ADI,0.0,Information Technology
AEE,-0.0,Utilities
HRL,0.04847962689620532,Consumer Staples
GILD,0.0,Health Care
PCG,0.0,Utilities
GHC,0.010152335211710592,Consumer Staples
KMX,0.0,Consumer Discretionary
VFC,0.004881147309489419,Consumer Discretionary
BXP,0.0,Real Estate
YUM,0.0,Consumer Discretionary
XRX,0.0,Information Technology
VTR,-0.0,Real Estate
IBM,0.02992542010086517,Information Technology
NUE,-0.0,Materials
AET,-0.0,
NOV,-0.0100199962291018,Energy
CHD,0.025937616266152267,Consumer Staples
EXC,-0.0,Utilities
JCI,0.0,Industrials
LLY,0.0,Health Care
HST,-0.03656880142709611,Real Estate
AZO,0.016353113654163438,Financials
IRM,0.0,Real Estate
CCEP,-0.0,Consumer Staples
PEG,-0.0,Utilities
VLO,-0.0,Energy
INTU,0.0,Information Technology
KO,0.0,Consumer Staples
APD,0.0,Materials
NFLX,0.0030974860947337963,Communication Services
CHRW,0.0,Industrials
USB,0.02938720449866555,Financials
DIS,-0.0,Communication Services
ILMN,0.0,Health Care
ITT,0.0,Industrials
JNJ,0.07024413651696637,Health Care
ISRG,-0.0,Health Care
CMA,0.0,Financials
WMT,0.03635270787735551,Consumer Staples
RCL,-0.0015649024907161465,Consumer Discretionary
KBH,-0.0,Industrials
UNM,-0.013897278198083497,Financials
KSS,0.0,Consumer Discretionary
CF,0.0,Industrials
GPN,0.0,Industrials
MMC,0.0,Financials
TAP,0.0,Consumer Staples
CVX,-0.0,Energy
AKAM,0.0,Information Technology
IAC,0.018306592891374037,Communication Services
AME,0.0,Industrials
LEG,-0.0,Consumer Discretionary
AMT,0.00026512033249740264,Real Estate
ICE,-0.003864989510015317,Financials
MTW,-0.0015647563202272213,Industrials
PDCO,-0.0,Health Care
WFC,0.0,Financials
AVY,-0.0,Industrials
SNA,-0.0,Industrials
EMN,0.0,Materials
BAX,0.0,Health Care
BLK,-0.0,Financials
NTAP,0.0,Information Technology
DE,0.01048059363175946,Industrials
MAS,-0.0,Industrials
ROK,-0.0,Industrials
UPS,0.0031635750577656955,Industrials
PVH,-0.0,Consumer Discretionary
LEN,0.0,Industrials
SWKS,0.0,Information Technology
WDC,0.0,Information Technology
AON,0.002405406885296827,Financials
AAPL,0.016464189532292527,Information Technology
NSC,0.0,Industrials
EQT,-0.0,Energy
DXC,-0.0,Information Technology
RF,0.0,Financials
ADBE,0.0,Information Technology
K,0.019827227390873087,Consumer Staples
UNH,-0.0,Health Care
HPQ,0.0,Information Technology
ETR,0.0,Utilities
BMS,0.0,
FTI,-0.0,Energy
STX,0.00039236861011011074,Information Technology
HD,0.0,Consumer Discretionary
TJX,0.0,Consumer Discretionary
SYK,0.0,Health Care
IPG,-0.0,Communication Services
MAC,0.0,Real Estate
JPM,-0.0,Financials
WM,0.0,Industrials
AYI,-0.0,Industrials
CCL,0.0,Consumer Discretionary
NFX,0.0,
DDS,0.0,Consumer Discretionary
HAL,0.0,Energy
VIAV,-0.0,Information Technology
DLTR,0.008115881515024462,Consumer Staples
ZBH,0.0,Health Care
EBAY,0.0,Consumer Discretionary
DGX,0.013967180639005356,Health Care
FRT,0.0,Real Estate
PHM,-0.0005360313874368714,Industrials
SVU,-0.0,
NDAQ,0.0,Financials
DOV,0.0,Industrials
MAT,-0.0,Consumer Discretionary
TSCO,0.0,Consumer Discretionary
MBI,-0.0,Financials
MET,-0.0,Financials
BIG,-0.0,Consumer Staples
EQIX,0.0,Real Estate
MAR,0.0,Consumer Discretionary
TEX,-0.007572080401563065,Industrials
MNST,0.0,Consumer Staples
SIG,-0.0,Consumer Discretionary
ETN,0.0,Industrials
GD,0.0,
MU,-0.004015943900829312,Information Technology
HSIC,0.0,Health Care
SLM,-0.0,Financials
DVN,0.0,Energy
APA,0.0,Energy
EL,0.0,Consumer Staples
WEC,0.012330492344802695,Utilities
CPB,0.003239179527680798,Consumer Staples
FMC,-0.0,Materials
TSN,-0.0,Consumer Staples
MHK,-0.0,Consumer Discretionary
CSCO,0.0,Information Technology
SWN,-0.0,Energy
COF,0.0,Financials
IVZ,-0.037885310928474955,Financials
CAH,0.0,Health Care
