firm,weight,sector
SPGI,-0.02733871517675063,Financials
MCHP,0.0040884446303141725,Information Technology
ROP,0.009901180761117644,Industrials
GIS,0.05480898376840266,Consumer Staples
ADI,0.005641128368494008,Information Technology
AEE,-0.0011836640752429517,Utilities
HRL,0.03813343545360758,Consumer Staples
GILD,0.0009866922735694396,Health Care
PCG,-0.009683139574922067,Utilities
GHC,0.020197272465485545,Consumer Staples
KMX,0.007188462321645293,Consumer Discretionary
VFC,0.04052564846033139,Consumer Discretionary
BXP,0.03513564356098879,Real Estate
YUM,-0.0014127046742831474,Consumer Discretionary
XRX,0.009290930634953887,Information Technology
VTR,0.0009909598502500679,Real Estate
IBM,0.046519158404546984,Information Technology
NUE,0.012436023204957519,Materials
AET,0.008985547488707876,
NOV,-0.037010941818403115,Energy
EXC,-0.033656925874659245,Utilities
JCI,0.0027717258769704364,Industrials
LLY,-0.006429690572873353,Health Care
HST,-0.04329530561359547,Real Estate
AZO,0.024443532969774404,Financials
IRM,0.012001976804187893,Real Estate
PEG,-0.006299140330857957,Utilities
OMX,-0.01128751335058163,
VLO,0.010374651013619896,Energy
INTU,0.008898985838422229,Information Technology
KO,0.0003907652844235207,Consumer Staples
APD,0.004720664384097257,Materials
CHRW,-0.002669189681310899,Industrials
USB,0.050279527431079996,Financials
DIS,-0.021226761146247133,Communication Services
ITT,-0.014639577311403699,Industrials
AMD,0.0014602207556951314,Information Technology
JNJ,0.03961394505044023,Health Care
ISRG,-0.00603994460844423,Health Care
CMA,-0.008947188745197206,Financials
WMT,0.0556742968087385,Consumer Staples
KBH,-0.0010374827687760829,Industrials
UNM,-0.018132693928880877,Financials
KSS,-0.004275324489760862,Consumer Discretionary
MMC,0.007398178564279974,Financials
TAP,0.015476692334950908,Consumer Staples
CVX,0.04247674320019358,Energy
AKAM,0.004806807826951719,Information Technology
IAC,0.0019154671234049361,Communication Services
LEG,0.004687393793967463,Consumer Discretionary
AMT,0.001102407712397042,Real Estate
MTW,-0.006002817956101221,Industrials
WFC,0.02264806583295144,Financials
PDCO,0.007580526551159686,Health Care
AVY,-0.012036284171272626,Industrials
SNA,0.008389945898913613,Industrials
EMN,0.004701209058286911,Materials
WOR,-0.003674551707664229,Industrials
BAX,0.010827015006136696,Health Care
BLK,0.02613119553265409,Financials
NTAP,-0.009602051531515257,Information Technology
DE,0.021723018797714322,Industrials
TUP,-0.0004255787900802337,Consumer Discretionary
MAS,0.0026654882164476564,Industrials
ROK,0.001681285205556918,Industrials
UPS,0.07762826458099961,Industrials
LEN,0.006323743080212548,Industrials
WDC,-0.001423349141986536,Information Technology
AON,0.019795854021997593,Financials
AAPL,0.009572221914319591,Information Technology
NSC,-0.03519024870998756,Industrials
EQT,0.007712153873383755,Energy
DXC,0.0013319678304899462,Information Technology
RF,0.0023343208926102817,Financials
ADBE,-0.006219680418632959,Information Technology
K,0.010828680761304731,Consumer Staples
UNH,0.002102708641823403,Health Care
HPQ,0.004749623599177034,Information Technology
ETR,0.01466391295390314,Utilities
BMS,0.0266164751965118,
FTI,0.01014344333676556,Energy
HD,0.00896186168368206,Consumer Discretionary
TJX,0.0036972414012468734,Consumer Discretionary
SYK,-0.005766271242066882,Health Care
IPG,-0.0007802836257839417,Communication Services
JPM,-0.02334547802739163,Financials
WM,-0.0003729522435142077,Industrials
CCL,-0.011406806897429298,Consumer Discretionary
NFX,0.017980348065782196,
DDS,0.009677010020215641,Consumer Discretionary
HAL,-0.008257341748779422,Energy
VIAV,0.005886318378464079,Information Technology
DLTR,0.01719263602265513,Consumer Staples
ZBH,0.006298084757886031,Health Care
EBAY,0.003982983272715993,Consumer Discretionary
DGX,0.0002020773491831461,Health Care
PHM,-0.003511732839029773,Industrials
SVU,0.009053076271038504,
DOV,0.006999362267616419,Industrials
