sector,weight
Communication Services,0.03908794788273616
Consumer Discretionary,0.13029315960912052
Consumer Staples,0.08469055374592835
Energy,0.055374592833876225
Financials,0.15635179153094464
Health Care,0.08794788273615635
Industrials,0.15309446254071662
Information Technology,0.10097719869706841
Materials,0.048859934853420196
Real Estate,0.03257328990228013
Utilities,0.05863192182410424
